Date,Singapore,Australia,Canada,Switzerland,UK,Japan,New Zealand,Euro Area
01-01-2015,125.56,106.21,85.75,98.80,94.12,90.20,110.60,85.82
01-02-2015,124.40,103.59,83.44,99.21,96.38,90.34,109.40,84.44
01-03-2015,124.40,104.55,83.60,97.94,96.80,90.39,111.43,81.87
01-04-2015,126.24,104.05,84.97,98.17,96.45,90.60,112.73,81.26
01-05-2015,126.34,105.40,85.84,97.92,97.75,88.76,108.27,82.82
01-06-2015,125.98,103.84,84.91,97.09,98.60,86.85,103.09,83.71
01-07-2015,125.61,100.80,82.12,97.37,100.17,87.99,99.69,82.65
01-08-2015,123.12,99.80,80.42,95.79,100.18,89.37,98.81,84.81
01-09-2015,122.51,97.32,79.85,93.57,98.39,91.90,96.24,85.98
01-10-2015,122.91,98.76,81.10,94.33,98.05,91.23,100.93,85.16
01-11-2015,123.15,99.92,80.41,93.01,99.92,90.16,100.45,82.63
01-12-2015,123.63,101.14,77.95,90.26,97.86,91.10,103.18,84.11
01-01-2016,122.07,99.04,75.99,87.15,94.90,94.66,101.39,84.77
01-02-2016,122.51,99.01,77.52,89.38,92.48,97.18,101.22,85.98
01-03-2016,123.87,103.03,80.56,90.44,91.42,97.43,100.92,85.28
01-04-2016,123.76,103.61,82.50,92.92,90.24,98.95,101.59,85.51
01-05-2016,122.59,99.26,81.95,90.32,91.94,100.02,101.28,85.60
01-06-2016,123.51,100.20,82.30,91.46,89.89,103.46,104.35,85.13
01-07-2016,124.08,102.40,81.45,94.21,84.18,105.07,105.88,84.86
01-08-2016,123.12,102.91,81.34,96.80,82.93,106.98,106.24,85.26
01-09-2016,122.32,102.65,80.80,96.42,83.36,106.59,107.79,85.46
01-10-2016,121.25,104.46,80.27,97.42,79.18,105.72,106.69,85.30
01-11-2016,120.92,105.01,79.61,98.66,81.63,102.27,108.39,84.74
01-12-2016,121.18,104.15,80.75,99.83,83.36,96.29,108.83,84.15
01-01-2017,120.86,105.14,81.73,100.49,81.88,96.54,109.45,84.56
01-02-2017,121.09,107.38,81.74,101.85,82.61,97.40,110.01,83.75
01-03-2017,121.59,106.81,79.83,102.37,81.68,97.35,106.63,83.98
01-04-2017,121.68,104.82,79.31,101.90,83.49,99.55,105.73,83.58
01-05-2017,120.88,102.83,78.13,101.80,84.17,96.78,104.94,85.28
01-06-2017,120.73,103.71,79.50,102.91,82.41,97.34,108.03,86.31
01-07-2017,121.55,106.38,82.94,101.57,82.45,95.24,108.59,87.69
01-08-2017,120.79,106.71,83.10,100.40,80.86,96.39,106.26,89.15
01-09-2017,120.93,106.92,84.91,100.27,82.81,94.88,104.83,89.07
01-10-2017,121.32,105.70,83.39,98.81,83.09,93.51,103.21,88.81
01-11-2017,121.20,103.38,82.53,97.48,83.45,93.70,101.13,88.86
01-12-2017,120.91,103.08,82.07,101.04,84.29,93.53,101.68,89.06
01-01-2018,121.01,104.91,83.37,104.30,85.19,94.06,102.95,90.00
01-02-2018,119.95,103.27,82.64,105.66,84.94,95.39,103.68,90.21
01-03-2018,120.17,101.86,80.38,105.16,85.11,96.88,103.24,90.40
01-04-2018,120.65,101.26,81.68,106.68,86.17,95.14,103.60,90.31
01-05-2018,120.41,101.44,81.59,105.36,84.74,94.87,101.63,89.29
01-06-2018,120.51,101.70,80.26,102.56,84.41,95.35,102.26,88.97
01-07-2018,120.43,101.24,80.53,102.41,83.89,95.07,100.85,89.63
01-08-2018,120.31,100.85,81.35,99.81,83.01,96.21,99.92,89.56
01-09-2018,120.06,99.19,81.21,97.57,83.79,95.07,99.11,90.42
01-10-2018,120.14,98.42,81.62,99.15,84.31,95.02,98.71,89.31
01-11-2018,120.45,100.78,80.60,101.24,84.18,94.60,102.64,88.66
01-12-2018,120.70,99.42,79.23,100.89,82.71,95.54,103.30,88.70
01-01-2019,120.86,98.42,79.72,102.43,83.71,97.82,102.04,88.14
01-02-2019,121.20,98.34,80.45,102.28,84.80,96.24,102.90,87.54
01-03-2019,121.13,97.78,79.58,99.59,85.95,95.63,103.31,87.16
01-04-2019,121.60,98.51,79.59,99.83,85.48,95.08,101.63,86.97
01-05-2019,120.51,96.88,79.46,98.27,84.70,97.49,100.16,87.18
01-06-2019,120.21,96.43,80.23,97.64,82.97,98.67,100.39,87.52
01-07-2019,119.97,96.89,81.47,99.94,81.88,98.31,101.48,86.80
01-08-2019,118.84,94.81,80.68,96.36,80.39,101.47,98.88,87.21
01-09-2019,119.36,95.77,80.83,97.98,82.25,100.19,97.86,86.21
01-10-2019,119.93,95.36,81.12,97.85,83.85,98.90,97.62,86.10
01-11-2019,120.05,95.60,80.60,98.25,85.34,97.91,98.51,85.65
01-12-2019,120.14,95.89,81.01,99.68,86.09,97.21,101.09,85.57
01-01-2020,120.14,95.36,81.36,99.60,86.25,96.50,101.26,85.21
01-02-2020,117.85,93.85,80.57,98.07,86.56,96.79,99.56,84.55
01-03-2020,116.67,88.38,76.92,93.52,83.02,100.36,96.10,87.40
01-04-2020,117.48,90.08,76.72,89.61,84.29,101.64,96.46,87.19
01-05-2020,117.15,92.25,77.08,90.98,83.22,101.93,96.74,87.07
01-06-2020,117.03,95.97,79.34,92.91,82.66,99.57,99.75,88.23
01-07-2020,116.78,97.02,79.48,93.80,82.71,99.48,101.07,88.96
